typogroup,security,typofix
up2cap,0.000696409973078,0.00144743984078
sws-last1,0.00358329352536,0.00343766962186
sws-last1,0.00420171701578,0.00343766962186
up2cap|sws-last1,0.00427970349844,0.00488510946264
up2cap|sws-last1,0.00489812698886,0.00488510946264
sws-lastn|sws-last1,0.00778501054114,0.00597068934322
sws-lastn|up2cap|sws-last1,0.00848142051422,0.00741812918401
rm-lasts,0.00980137520339,0.013026958567
up2cap|rm-lasts,0.0104977851765,0.0144743984078
sws-last1|rm-lasts,0.0133846687287,0.0164646281889
sws-last1|rm-lasts,0.0140030922192,0.0164646281889
up2cap|sws-last1|rm-lasts,0.0140810787018,0.0179120680297
up2cap|sws-last1|rm-lasts,0.0146995021922,0.0179120680297
sws-lastn|sws-last1|rm-lasts,0.0175863857445,0.0189976479103
swc-first,0.0226411233409,0.0378143658404
up2cap|swc-first,0.0233375333139,0.0392618056812
up2cap|swc-first,0.0239977804132,0.0392618056812
up2cap|swc-first,0.0246941903863,0.0392618056812
sws-last1|swc-first,0.0262244168662,0.0412520354623
sws-last1|swc-first,0.0268428403566,0.0412520354623
up2cap|sws-last1|swc-first,0.0269208268393,0.0426994753031
up2cap|sws-last1|swc-first,0.0275392503297,0.0426994753031
up2cap|sws-last1|swc-first,0.0275810739386,0.0426994753031
up2cap|sws-last1|swc-first,0.028199497429,0.0426994753031
up2cap|sws-last1|swc-first,0.0282774839117,0.0426994753031
up2cap|sws-last1|swc-first,0.0288959074021,0.0426994753031
sws-lastn|sws-last1|swc-first,0.030426133882,0.0437850551836
sws-lastn|sws-last1|swc-first,0.0317827909544,0.0437850551836
swc-first|rm-lasts,0.0324424985442,0.0508413244075
up2cap|swc-first|rm-lasts,0.0331389085173,0.0522887642482
up2cap|swc-first|rm-lasts,0.0337991556166,0.0522887642482
up2cap|swc-first|rm-lasts,0.0344955655897,0.0522887642482
sws-last1|swc-first|rm-lasts,0.0360257920696,0.0542789940293
sws-last1|swc-first|rm-lasts,0.03664421556,0.0542789940293
sws-last1|swc-first|rm-lasts,0.037382449142,0.0542789940293
sws-last1|swc-first|rm-lasts,0.0380008726324,0.0542789940293
swc-all,0.0425743952525,0.307219106206
swc-all|up2cap,0.0432708052256,0.308666546047
swc-all|sws-last1,0.0461576887779,0.310656775828
swc-all|sws-last1,0.0466389037541,0.310656775828
swc-all|sws-last1,0.0467761122683,0.310656775828
swc-all|up2cap|sws-last1,0.0468540987509,0.312104215669
swc-all|up2cap|sws-last1,0.0473353137272,0.312104215669
swc-all|up2cap|sws-last1,0.0474725222414,0.312104215669
swc-all|up2cap|sws-last1,0.0502221972795,0.312104215669
swc-all|sws-lastn|sws-last1,0.0503594057936,0.313189795549
swc-all|sws-lastn|sws-last1,0.0508406207699,0.313189795549
swc-all|rm-lasts,0.0523757704559,0.320246064773
swc-all|up2cap|rm-lasts,0.053072180429,0.321693504614
swc-all|up2cap|rm-lasts,0.0534221378573,0.321693504614
swc-all|up2cap|rm-lasts,0.0541185478304,0.321693504614
swc-all|sws-last1|rm-lasts,0.0559590639812,0.323683734395
swc-all|sws-last1|rm-lasts,0.0564402789575,0.323683734395
swc-all|sws-last1|rm-lasts,0.0565774874717,0.323683734395
swc-all|sws-last1|rm-lasts,0.0570054313826,0.323683734395
swc-all|sws-last1|rm-lasts,0.0576238548731,0.323683734395
swc-all|sws-last1|rm-lasts,0.0577018413557,0.323683734395
swc-all|sws-last1|rm-lasts,0.0583202648461,0.323683734395
swc-all|sws-last1|rm-lasts,0.0612071483984,0.323683734395
swc-all|sws-last1|rm-lasts,0.0632235130607,0.323683734395
swc-all|sws-last1|rm-lasts,0.0639199230337,0.323683734395
swc-all|swc-first,0.0652155185933,0.345033472046
swc-all|up2cap|swc-first,0.0659119285664,0.346480911887
swc-all|up2cap|swc-first,0.0665721756657,0.346480911887
swc-all|up2cap|swc-first,0.066806806586,0.346480911887
swc-all|up2cap|swc-first,0.0672685856388,0.346480911887
swc-all|up2cap|swc-first,0.0674252300764,0.346480911887
swc-all|sws-last1|swc-first,0.0687988121187,0.348471141668
swc-all|sws-last1|swc-first,0.0694172356091,0.348471141668
swc-all|sws-last1|swc-first,0.0701554691911,0.348471141668
swc-all|sws-last1|swc-first,0.0707738926815,0.348471141668
swc-all|swc-first|rm-lasts,0.0750168937967,0.358060430613
swc-all|swc-first|rm-lasts,0.0760632611981,0.358060430613
swc-all|swc-first|rm-lasts,0.0763735508691,0.358060430613
swc-all|swc-first|rm-lasts,0.0767596711712,0.358060430613
swc-all|swc-first|rm-lasts,0.0774199182705,0.358060430613
swc-all|swc-first|rm-lasts,0.0781163282436,0.358060430613
swc-all|swc-first|rm-lasts,0.0796465547235,0.358060430613
swc-all|swc-first|rm-lasts,0.0802649782139,0.358060430613
swc-all|swc-first|rm-lasts,0.0810032117959,0.358060430613
swc-all|swc-first|rm-lasts,0.0816216352863,0.358060430613
swc-all|swc-first|rm-lasts,0.0858646364015,0.358060430613
swc-all|swc-first|rm-lasts,0.0872212934739,0.358060430613
swc-all|swc-first|rm-lasts,0.0892132990066,0.358060430613
swc-all|swc-first|rm-lasts,0.0959965331098,0.358060430613
swc-all|swc-first|rm-lasts,0.0966929430828,0.358060430613
swc-all|swc-first|rm-lasts,0.0995798266351,0.358060430613
swc-all|swc-first|rm-lasts,0.100061041611,0.358060430613
swc-all|swc-first|rm-lasts,0.100198250126,0.358060430613
swc-all|swc-first|rm-lasts,0.105797908313,0.358060430613
swc-all|swc-first|rm-lasts,0.118637656451,0.358060430613
swc-all|swc-first|rm-lasts,0.119994313523,0.358060430613
swc-all|swc-first|rm-lasts,0.139602384428,0.358060430613
swc-all|swc-first|rm-lasts,0.140298794401,0.358060430613
swc-all|swc-first|rm-lasts,0.143185677953,0.358060430613
swc-all|swc-first|rm-lasts,0.143804101444,0.358060430613
swc-all|swc-first|rm-lasts,0.143882087926,0.358060430613
swc-all|swc-first|rm-lasts,0.144500511417,0.358060430613
swc-all|swc-first|rm-lasts,0.147387394969,0.358060430613
swc-all|swc-first|rm-lasts,0.149403759631,0.358060430613
swc-all|swc-first|rm-lasts,0.150100169604,0.358060430613
swc-all|swc-first|rm-lasts,0.152987053157,0.358060430613
swc-all|swc-first|rm-lasts,0.153605476647,0.358060430613
swc-all|swc-first|rm-lasts,0.162243507769,0.358060430613
swc-all|swc-first|rm-lasts,0.162939917742,0.358060430613
swc-all|swc-first|rm-lasts,0.163600164841,0.358060430613
swc-all|swc-first|rm-lasts,0.164296574814,0.358060430613
swc-all|swc-first|rm-lasts,0.165826801294,0.358060430613
swc-all|swc-first|rm-lasts,0.166445224785,0.358060430613
swc-all|swc-first|rm-lasts,0.167183458367,0.358060430613
swc-all|swc-first|rm-lasts,0.167801881857,0.358060430613
swc-all|swc-first|rm-lasts,0.172044882972,0.358060430613
swc-all|swc-first|rm-lasts,0.173401540045,0.358060430613
swc-all|swc-first|rm-lasts,0.18217677968,0.358060430613
swc-all|swc-first|rm-lasts,0.182873189654,0.358060430613
swc-all|swc-first|rm-lasts,0.185760073206,0.358060430613
swc-all|swc-first|rm-lasts,0.186241288182,0.358060430613
swc-all|swc-first|rm-lasts,0.186378496696,0.358060430613
swc-all|swc-first|rm-lasts,0.191978154884,0.358060430613
swc-all|swc-first|rm-lasts,0.193024522285,0.358060430613
swc-all|swc-first|rm-lasts,0.193720932258,0.358060430613
swc-all|swc-first|rm-lasts,0.196607815811,0.358060430613
swc-all|swc-first|rm-lasts,0.197226239301,0.358060430613
swc-all|swc-first|rm-lasts,0.202825897489,0.358060430613
swc-all|swc-first|rm-lasts,0.204817903021,0.358060430613
swc-all|swc-first|rm-lasts,0.206174560094,0.358060430613
swc-all|swc-first|rm-lasts,0.215665645626,0.358060430613
swc-all|swc-first|rm-lasts,0.217022302699,0.358060430613
swc-all|swc-first|rm-lasts,0.235598917538,0.358060430613
